,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033,R034,R035,R036,R037,R038,R039,R040,R041,R042,R043,R044,R045,R046,R047,R048,R049,R050,R051,R052,R053,R054,R055,R056,R057,R058,R059,R060,R061,R062,R063,R064,R065,R066,R067,R068,R069,R070,R071,R072,R073,R074,R075,R076,R077,R078,R079,R080,R081,R082,R083,R084,R085,R086,R087,R088,R089,R090,R091,R092,R093,R094,R095,R096,R097,R098,R099,R100
R001,1.0000,0.8490,0.8541,0.8260,0.8301,0.8250,0.8639,0.8608,0.8608,0.8317,0.8543,0.8247,0.8926,0.8127,0.3382,0.3075,0.2869,0.3179,0.3181,0.2512,0.2994,0.3217,0.2700,0.2858,0.3148,0.3267,0.2717,0.3736,0.3222,0.4189,0.2479,0.3489,0.2926,0.4590,0.2755,0.3240,0.2630,0.3831,-0.1265,-0.0999,-0.1249,-0.0666,-0.2375,-0.0680,-0.1195,-0.1574,0.0013,-0.0823,-0.0806,-0.1212,0.0560,0.2144,0.2274,0.1023,0.0303,0.1018,0.1634,0.0367,0.1126,0.0376,0.1449,0.1720,-0.0134,0.1652,0.1189,0.1247,0.0302,0.0452,0.0461,0.2109,0.1782,0.0166,0.1571,0.1798,0.0941,0.1057,0.0437,0.2554,0.1116,0.1107,0.0234,0.1222,0.2311,0.1591,0.1883,0.1679,0.1616,0.1484,0.1653,0.1090,0.1517,0.0732,0.0559,0.1348,0.1503,0.0259,0.0935,0.1469,0.1285,0.1318
R002,0.8490,1.0000,0.8056,0.8052,0.8173,0.8366,0.8051,0.8406,0.8326,0.7965,0.8490,0.7664,0.8458,0.7841,0.3002,0.3115,0.2708,0.2840,0.2937,0.2371,0.2629,0.2711,0.2779,0.2861,0.3003,0.3226,0.1648,0.3049,0.2115,0.3057,0.1655,0.2210,0.1904,0.3610,0.1877,0.2201,0.1579,0.2878,-0.1164,-0.1247,-0.1300,-0.1005,-0.2737,-0.0647,-0.1507,-0.1732,-0.0247,-0.1409,-0.0956,-0.1699,0.0245,0.1533,0.2019,0.0305,-0.0216,0.0522,0.0890,-0.0105,0.0777,-0.0189,0.1043,0.1348,-0.0696,0.1040,0.0609,0.0839,-0.0131,-0.0260,-0.0003,0.1546,0.2437,0.1015,0.2106,0.2139,0.1652,0.1611,0.1414,0.2879,0.1801,0.1498,0.0789,0.1822,0.2650,0.2497,0.2613,0.2153,0.2398,0.2088,0.2481,0.1762,0.2423,0.1225,0.1315,0.1905,0.2103,0.1109,0.1625,0.2152,0.2078,0.2082
R003,0.8541,0.8056,1.0000,0.7740,0.8610,0.7991,0.8457,0.7986,0.8712,0.8342,0.8669,0.7923,0.8614,0.8002,0.5059,0.4783,0.4609,0.4803,0.4940,0.4355,0.4550,0.4833,0.4525,0.4625,0.4538,0.4941,0.2343,0.3744,0.2448,0.3834,0.2571,0.2571,0.2280,0.3883,0.1832,0.3010,0.2177,0.3307,-0.0987,-0.0453,-0.0758,-0.0512,-0.2131,-0.0723,-0.1126,-0.1517,0.0219,-0.0401,-0.0695,-0.1409,0.1669,0.3343,0.3221,0.1632,0.1219,0.2026,0.1950,0.1242,0.1542,0.0676,0.1556,0.2388,0.0619,0.2230,0.2039,0.2054,0.0823,0.0734,0.1212,0.2542,0.2359,0.0670,0.2228,0.2485,0.1549,0.1931,0.1237,0.2781,0.1434,0.1734,0.0408,0.1981,0.2932,0.1907,0.2431,0.1778,0.2363,0.1627,0.2266,0.1755,0.2092,0.1325,0.0794,0.2075,0.2386,0.0710,0.1426,0.1863,0.2041,0.1762
R004,0.8260,0.8052,0.7740,1.0000,0.8006,0.8191,0.8079,0.8090,0.8185,0.7905,0.8140,0.7905,0.8011,0.7632,0.2795,0.2395,0.2137,0.1951,0.2198,0.1580,0.2036,0.2301,0.1894,0.2365,0.1990,0.2470,0.2378,0.3128,0.2345,0.3246,0.2181,0.2531,0.2106,0.3466,0.2270,0.2889,0.2179,0.3277,0.0844,0.0678,0.0719,0.1604,-0.0272,0.1666,0.0756,0.0586,0.1990,0.0695,0.1027,0.0598,0.0670,0.1398,0.1658,0.0891,0.0281,0.0712,0.1597,0.0656,0.1660,0.0501,0.1720,0.1600,0.0092,0.1658,0.1181,0.1171,0.0674,0.0698,0.0889,0.1868,0.1832,0.0755,0.1840,0.1954,0.1016,0.1033,0.0853,0.2545,0.1029,0.1231,0.1073,0.0704,0.2316,0.1634,0.1869,0.2196,0.1950,0.1370,0.1665,0.1038,0.1644,0.0735,0.0420,0.0992,0.1484,0.0400,0.0862,0.1688,0.1491,0.1551
R005,0.8301,0.8173,0.8610,0.8006,1.0000,0.8148,0.8257,0.8252,0.8578,0.8256,0.8559,0.7759,0.8707,0.7963,0.4559,0.4421,0.3976,0.4462,0.4417,0.3883,0.4350,0.4425,0.4105,0.4245,0.4417,0.4701,0.2373,0.3891,0.2617,0.3360,0.2312,0.2486,0.2161,0.3759,0.2092,0.2708,0.2187,0.3317,-0.0329,0.0009,-0.0246,0.0239,-0.1544,0.0220,-0.0423,-0.0621,0.1178,-0.0013,-0.0150,-0.0756,0.2011,0.3146,0.3175,0.1697,0.1168,0.1965,0.1972,0.1328,0.1731,0.0925,0.2024,0.2622,0.0683,0.2167,0.1831,0.2015,0.1190,0.1053,0.1141,0.2910,0.2204,0.0454,0.2081,0.2368,0.1346,0.1757,0.1152,0.2771,0.1380,0.1758,0.0329,0.1799,0.2566,0.1659,0.2299,0.1741,0.2402,0.1560,0.1842,0.1544,0.2188,0.1108,0.0666,0.1833,0.2214,0.0585,0.1129,0.1424,0.1823,0.1794
R006,0.8250,0.8366,0.7991,0.8191,0.8148,1.0000,0.8306,0.8014,0.8288,0.8184,0.8625,0.7723,0.8433,0.7800,0.3062,0.2864,0.2656,0.2818,0.2919,0.2362,0.2723,0.2596,0.2536,0.2966,0.2709,0.3151,0.1934,0.3248,0.2107,0.3060,0.1959,0.1900,0.1617,0.3344,0.1557,0.2452,0.1772,0.2841,0.0115,0.0268,-0.0011,0.0751,-0.0996,0.0635,-0.0315,-0.0526,0.1204,0.0015,0.0529,-0.0228,0.0732,0.2155,0.2159,0.1249,0.0320,0.1171,0.1785,0.0891,0.1697,0.0888,0.1809,0.1965,0.0523,0.2046,0.1563,0.1695,0.0909,0.0782,0.1332,0.2088,0.1859,0.0228,0.1445,0.1493,0.1211,0.1070,0.0737,0.2502,0.0928,0.1479,0.0358,0.1200,0.2392,0.1310,0.1822,0.1965,0.2030,0.1317,0.1654,0.0952,0.1600,0.0879,0.0512,0.1192,0.1614,0.0361,0.1034,0.1642,0.1377,0.1713
R007,0.8639,0.8051,0.8457,0.8079,0.8257,0.8306,1.0000,0.8241,0.8378,0.8490,0.8361,0.8008,0.8619,0.7925,0.3992,0.3745,0.3518,0.3602,0.3805,0.3095,0.3661,0.3916,0.3243,0.3612,0.3619,0.3849,0.2604,0.3768,0.2783,0.3296,0.2687,0.2652,0.1958,0.3779,0.2123,0.2859,0.2606,0.3556,-0.0133,0.0115,-0.0172,0.0352,-0.1123,0.0472,-0.0158,-0.0543,0.1261,0.0250,0.0355,-0.0495,0.0915,0.2120,0.2275,0.1308,0.0641,0.1109,0.3029,0.1954,0.2565,0.1677,0.2533,0.3229,0.1497,0.3043,0.2614,0.2517,0.1884,0.1903,0.2120,0.3364,0.1436,-0.0117,0.0913,0.1573,0.0730,0.0864,0.0210,0.2142,0.0902,0.0965,-0.0034,0.1067,0.2129,0.1227,0.1572,0.1210,0.1448,0.0696,0.1292,0.0694,0.1278,0.0367,-0.0136,0.1245,0.1430,-0.0206,0.0648,0.1115,0.0671,0.1235
R008,0.8608,0.8406,0.7986,0.8090,0.8252,0.8014,0.8241,1.0000,0.8271,0.7970,0.8400,0.7806,0.8289,0.8132,0.2907,0.2843,0.2485,0.2644,0.2607,0.2205,0.2416,0.2743,0.2259,0.2467,0.2758,0.2980,0.2881,0.4220,0.3218,0.3967,0.3000,0.3305,0.3039,0.4615,0.2770,0.3248,0.2684,0.3697,-0.1247,-0.1056,-0.1398,-0.0997,-0.2210,-0.0665,-0.1427,-0.1368,-0.0101,-0.1050,-0.1146,-0.1480,0.0153,0.1562,0.1974,0.0939,-0.0074,0.0856,0.1461,0.0576,0.1274,0.0442,0.1640,0.2062,-0.0079,0.1798,0.1128,0.1293,0.0655,0.0528,0.0619,0.1811,0.2004,0.0825,0.1923,0.2516,0.1453,0.1616,0.1160,0.2915,0.1834,0.1359,0.0874,0.1306,0.2744,0.1983,0.2032,0.1853,0.2526,0.1785,0.2181,0.1454,0.1598,0.1113,0.1183,0.2039,0.1977,0.0818,0.1377,0.1947,0.1637,0.2158
R009,0.8608,0.8326,0.8712,0.8185,0.8578,0.8288,0.8378,0.8271,1.0000,0.8194,0.8663,0.8256,0.8810,0.8569,0.4468,0.4107,0.3971,0.3996,0.4043,0.3526,0.3929,0.4092,0.3978,0.4054,0.4016,0.4275,0.2607,0.3949,0.3004,0.4001,0.2459,0.2844,0.2306,0.4328,0.2557,0.3074,0.2548,0.3632,-0.0305,0.0022,-0.0433,0.0064,-0.1622,0.0236,-0.0909,-0.0794,0.1002,-0.0359,-0.0198,-0.0949,0.1665,0.3357,0.3232,0.1973,0.1373,0.2128,0.1714,0.0475,0.1352,0.0343,0.1460,0.1947,0.0466,0.1784,0.1620,0.1529,0.0476,0.0520,0.0841,0.2422,0.1722,0.0249,0.1716,0.1930,0.0978,0.1249,0.0547,0.2485,0.1013,0.1192,0.0331,0.0903,0.2487,0.1383,0.2146,0.1517,0.1642,0.0977,0.1504,0.1149,0.1640,0.0792,0.0305,0.1478,0.1676,0.0282,0.0750,0.1196,0.1670,0.1490
R010,0.8317,0.7965,0.8342,0.7905,0.8256,0.8184,0.8490,0.7970,0.8194,1.0000,0.8262,0.7671,0.8293,0.7723,0.4231,0.4020,0.3806,0.3821,0.4011,0.3315,0.3808,0.3951,0.3498,0.4032,0.3569,0.4184,0.1456,0.2750,0.1885,0.2373,0.1628,0.1829,0.1227,0.2992,0.1407,0.2000,0.1569,0.2666,-0.0187,0.0014,-0.0208,0.0078,-0.1198,0.0183,-0.0388,-0.0771,0.0490,-0.0077,0.0064,-0.0563,0.0645,0.1947,0.1847,0.0739,0.0207,0.0769,0.2709,0.1486,0.1804,0.1228,0.1938,0.2364,0.0793,0.2539,0.1860,0.1881,0.1115,0.0917,0.1373,0.2786,0.1271,-0.0151,0.1460,0.1492,0.0583,0.0805,0.0563,0.2237,0.0644,0.0952,0.0142,0.0968,0.2105,0.0993,0.1632,0.1471,0.1597,0.0979,0.1339,0.1044,0.1453,0.0501,0.0094,0.1314,0.1259,-0.0379,0.0655,0.1381,0.1040,0.1195
