,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033,R034,R035,R036,R037,R038,R039,R040,R041,R042,R043,R044,R045,R046,R047,R048,R049,R050,R051,R052,R053,R054,R055,R056,R057,R058,R059,R060,R061,R062,R063,R064,R065,R066,R067,R068
R001,1.0000,0.8292,0.7635,0.7848,0.7299,0.7931,0.7862,0.7309,0.7889,0.7685,0.7893,0.7721,0.7513,0.8057,-0.1281,0.0306,0.0404,-0.0480,-0.2319,-0.1173,-0.1835,-0.1088,-0.1420,-0.2167,-0.0243,0.0998,0.4287,0.5358,0.4783,0.5021,0.4895,0.4089,0.4965,0.4975,0.4140,0.4447,0.2804,0.3516,0.2919,0.3110,0.1880,0.3320,0.2173,0.3763,0.1727,0.3573,0.2715,0.3483,0.2234,0.3117,0.2213,0.3833,0.3389,0.3913,0.2612,0.2258,0.3110,0.1542,0.2598,0.2516,0.3134,0.3539,0.2459,0.2664,0.2396,0.3884,0.2705,0.3120
R002,0.8292,1.0000,0.7345,0.8033,0.6931,0.7812,0.7966,0.7298,0.7845,0.8091,0.7968,0.7440,0.7753,0.8121,-0.3209,-0.1587,-0.0824,-0.2631,-0.3655,-0.2792,-0.3272,-0.2752,-0.3241,-0.3831,-0.1806,-0.0242,0.3042,0.3972,0.3470,0.3532,0.3675,0.2553,0.3898,0.3499,0.2677,0.2761,0.3002,0.3855,0.2694,0.2747,0.2298,0.3329,0.2142,0.3563,0.1716,0.3496,0.2744,0.3993,0.2269,0.2809,0.2272,0.4146,0.3169,0.3539,0.2482,0.2553,0.3181,0.1741,0.2957,0.2610,0.3375,0.3439,0.2188,0.3667,0.2729,0.4015,0.3114,0.2845
R003,0.7635,0.7345,1.0000,0.8480,0.7057,0.8272,0.7546,0.7969,0.7704,0.7853,0.7985,0.7252,0.7502,0.7879,-0.1347,0.0391,0.0089,-0.0719,-0.1362,-0.1755,-0.1877,-0.1470,-0.1398,-0.2237,-0.0280,0.0624,0.3083,0.4223,0.3433,0.3721,0.3419,0.3100,0.3485,0.3997,0.2522,0.3025,0.1833,0.2738,0.2049,0.1927,0.1143,0.2573,0.1127,0.2402,0.0530,0.2250,0.1585,0.2764,0.1214,0.1746,0.2031,0.2712,0.2727,0.3070,0.1717,0.1033,0.2539,0.1493,0.2039,0.1969,0.1886,0.1679,0.0885,0.1423,0.0986,0.2225,0.0973,0.1482
R004,0.7848,0.8033,0.8480,1.0000,0.7212,0.8399,0.8054,0.8061,0.8025,0.8085,0.7959,0.7728,0.7838,0.7847,-0.1370,0.0280,0.0506,-0.0673,-0.1988,-0.1938,-0.1242,-0.1196,-0.1588,-0.2516,-0.0436,0.1169,0.2874,0.4156,0.3111,0.3558,0.3452,0.3041,0.3206,0.3898,0.2785,0.3018,0.2119,0.3011,0.2482,0.2554,0.1385,0.3167,0.1718,0.2663,0.0943,0.2616,0.1731,0.3170,0.1667,0.2162,0.1943,0.2987,0.3154,0.3105,0.2025,0.1269,0.2990,0.1274,0.2294,0.2015,0.1869,0.1652,0.0561,0.1208,0.0481,0.1883,0.0696,0.1033
R005,0.7299,0.6931,0.7057,0.7212,1.0000,0.7304,0.6891,0.7128,0.7187,0.7457,0.7829,0.6514,0.7269,0.7211,-0.0962,0.0211,0.0748,-0.0982,-0.2168,-0.1917,-0.1630,-0.1026,-0.0924,-0.1949,-0.0701,0.0618,0.3020,0.3754,0.3398,0.3208,0.4073,0.3083,0.3751,0.3767,0.3040,0.2763,0.1457,0.2375,0.2071,0.1980,0.0654,0.2125,0.1619,0.2071,0.0516,0.1915,0.1342,0.2270,0.1002,0.2048,0.0516,0.1895,0.1749,0.2189,0.2122,0.0731,0.1676,0.0736,0.1545,0.1275,0.1368,0.1768,0.0467,0.1321,0.1112,0.1607,0.0486,0.0020
R006,0.7931,0.7812,0.8272,0.8399,0.7304,1.0000,0.8220,0.8042,0.8253,0.8539,0.8265,0.7623,0.7878,0.8091,-0.1427,0.0049,0.0496,-0.0349,-0.1777,-0.1731,-0.1378,-0.1486,-0.1084,-0.2688,-0.0329,0.1284,0.3505,0.4919,0.3807,0.4434,0.4042,0.3419,0.4127,0.4346,0.3119,0.3381,0.2340,0.2957,0.2462,0.2380,0.1317,0.2751,0.1986,0.2552,0.0810,0.2986,0.1697,0.2949,0.1317,0.2096,0.2105,0.3425,0.3401,0.3303,0.1963,0.1377,0.2802,0.1942,0.2480,0.2273,0.1967,0.1649,0.0748,0.1213,0.0721,0.1919,0.0731,0.1231
R007,0.7862,0.7966,0.7546,0.8054,0.6891,0.8220,1.0000,0.7539,0.7569,0.7855,0.7642,0.7358,0.7350,0.8116,-0.1506,0.0228,0.0608,-0.0633,-0.2267,-0.1638,-0.1377,-0.0977,-0.1043,-0.2369,-0.0098,0.1382,0.3868,0.4967,0.4433,0.4528,0.4448,0.3365,0.4264,0.4567,0.4027,0.3788,0.2407,0.3990,0.2573,0.2966,0.1772,0.2946,0.2260,0.3227,0.1371,0.3233,0.2323,0.3536,0.2331,0.2559,0.2063,0.3558,0.3635,0.3640,0.2446,0.1761,0.3223,0.1602,0.2895,0.2614,0.2931,0.2809,0.1485,0.2489,0.1811,0.2584,0.2093,0.1973
R008,0.7309,0.7298,0.7969,0.8061,0.7128,0.8042,0.7539,1.0000,0.7556,0.8051,0.7513,0.6872,0.7442,0.7802,-0.2234,0.0088,0.0258,-0.1163,-0.2504,-0.2323,-0.2035,-0.1274,-0.1840,-0.2730,-0.0472,0.0624,0.2096,0.3727,0.2391,0.2648,0.2394,0.2264,0.2415,0.3245,0.1719,0.2331,0.1882,0.2245,0.1678,0.1927,0.0899,0.2427,0.1165,0.1825,0.0430,0.2018,0.1212,0.2532,0.0892,0.1282,0.1388,0.2425,0.2460,0.2575,0.1327,0.1016,0.2149,0.1306,0.1828,0.1586,0.1881,0.2277,0.0991,0.1522,0.0876,0.1984,0.1167,0.1164
R009,0.7889,0.7845,0.7704,0.8025,0.7187,0.8253,0.7569,0.7556,1.0000,0.7890,0.7928,0.7429,0.7529,0.7348,-0.1559,0.0279,0.0638,-0.0704,-0.1930,-0.1614,-0.1783,-0.1108,-0.1618,-0.2460,0.0086,0.1419,0.4260,0.5154,0.4579,0.4795,0.4673,0.4116,0.4311,0.4882,0.4190,0.3931,0.3058,0.4012,0.3288,0.3343,0.2024,0.3746,0.2446,0.3478,0.1843,0.3542,0.2747,0.3942,0.2488,0.3218,0.2274,0.3535,0.3407,0.3902,0.2560,0.1896,0.2686,0.1926,0.2459,0.2670,0.2409,0.2172,0.0904,0.1951,0.1434,0.2663,0.1628,0.1885
R010,0.7685,0.8091,0.7853,0.8085,0.7457,0.8539,0.7855,0.8051,0.7890,1.0000,0.8428,0.7143,0.8003,0.8221,-0.2323,-0.1181,-0.0054,-0.2107,-0.2632,-0.2968,-0.2789,-0.2444,-0.2627,-0.3609,-0.1513,-0.0053,0.2540,0.3914,0.2961,0.3109,0.3324,0.2660,0.3384,0.3319,0.2322,0.2407,0.2709,0.3679,0.2793,0.2619,0.1759,0.3060,0.2036,0.3101,0.1166,0.2699,0.2176,0.3576,0.1859,0.2375,0.1740,0.3118,0.2642,0.2307,0.1554,0.0605,0.2332,0.1230,0.2418,0.1751,0.2396,0.2275,0.1220,0.2184,0.1864,0.3329,0.1471,0.2030
