,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033
R001,1.0000,0.7237,0.6998,0.7385,0.1506,0.2121,0.2164,0.2367,0.0197,0.0485,0.0855,0.0072,0.4122,0.3270,0.3218,0.3491,0.3061,0.2165,0.3586,0.3022,0.3817,0.3963,0.3279,0.4057,0.2417,0.2488,0.2461,0.1640,0.2706,0.1356,0.1559,0.2376,0.2668
R002,0.7237,1.0000,0.7758,0.7844,0.0952,0.0610,0.1066,0.1347,0.2709,0.2777,0.2960,0.2498,0.3741,0.2891,0.3326,0.3513,0.2388,0.1778,0.3493,0.3248,0.2874,0.2686,0.2297,0.3553,0.1452,0.1902,0.1136,0.0748,0.1563,0.0034,0.0505,0.1344,0.1609
R003,0.6998,0.7758,1.0000,0.7457,0.0851,0.0653,0.1055,0.1073,0.2632,0.2602,0.3033,0.2621,0.4159,0.3470,0.1793,0.1970,0.1025,0.0297,0.1635,0.2188,0.2277,0.1202,0.1362,0.2128,0.0227,0.0510,-0.0724,-0.0931,0.0250,-0.1774,-0.1489,-0.0495,-0.0146
R004,0.7385,0.7844,0.7457,1.0000,0.0211,0.0195,0.0481,0.1001,0.2421,0.2646,0.2829,0.2262,0.5050,0.4739,0.2289,0.2586,0.2277,0.1114,0.2694,0.2340,0.3216,0.2728,0.2504,0.3406,0.2301,0.1958,0.1512,0.0653,0.1979,-0.0052,-0.0125,0.0502,0.1296
R005,0.1506,0.0952,0.0851,0.0211,1.0000,0.8656,0.8542,0.8518,0.0016,0.0083,0.1015,0.0106,0.0567,0.1134,0.1737,0.2498,0.3221,0.2671,0.1624,0.1787,0.3364,0.0887,0.2553,0.2966,0.1247,0.2286,0.0795,0.1042,0.1328,0.1140,0.0310,0.0380,0.1297
R006,0.2121,0.0610,0.0653,0.0195,0.8656,1.0000,0.7960,0.8270,-0.1398,-0.1226,-0.0589,-0.1296,0.0186,0.1307,0.0866,0.1890,0.2495,0.2344,0.0736,0.1161,0.3691,0.1501,0.2395,0.3184,0.1948,0.2807,0.2492,0.2498,0.2718,0.2627,0.0428,0.0907,0.1414
R007,0.2164,0.1066,0.1055,0.0481,0.8542,0.7960,1.0000,0.8156,-0.0416,-0.0312,0.0525,-0.0235,0.0901,0.1730,0.1503,0.2695,0.3086,0.2618,0.1981,0.2184,0.3148,0.0926,0.1652,0.3021,0.0497,0.1619,0.0365,0.0814,0.0658,0.0463,0.0129,-0.0043,0.0725
R008,0.2367,0.1347,0.1073,0.1001,0.8518,0.8270,0.8156,1.0000,0.0104,0.0183,0.0996,0.0286,0.1509,0.2934,0.1761,0.2662,0.2777,0.2448,0.1803,0.1824,0.3973,0.1409,0.2387,0.3238,0.1315,0.2546,0.1528,0.1796,0.1836,0.0968,-0.0360,-0.0272,0.0235
R009,0.0197,0.2709,0.2632,0.2421,0.0016,-0.1398,-0.0416,0.0104,1.0000,0.9194,0.8931,0.9300,0.1343,0.2359,0.3321,0.3425,0.1645,0.1916,0.2385,0.4875,0.2338,0.2486,0.3381,0.3049,0.1240,0.0925,-0.1565,0.0123,-0.1428,-0.1460,0.1525,0.0509,0.2269
R010,0.0485,0.2777,0.2602,0.2646,0.0083,-0.1226,-0.0312,0.0183,0.9194,1.0000,0.9307,0.9329,0.1559,0.2960,0.3429,0.3514,0.1507,0.1977,0.2686,0.4796,0.2659,0.2809,0.3687,0.3190,0.1888,0.1581,-0.1941,-0.0305,-0.1664,-0.1921,0.1947,0.0870,0.2677
R011,0.0855,0.2960,0.3033,0.2829,0.1015,-0.0589,0.0525,0.0996,0.8931,0.9307,1.0000,0.9338,0.2530,0.3624,0.3223,0.3359,0.1648,0.1604,0.2606,0.4689,0.2445,0.2447,0.3077,0.3046,0.1253,0.1182,-0.2513,-0.0914,-0.2600,-0.2940,0.1482,0.0625,0.2246
R012,0.0072,0.2498,0.2621,0.2262,0.0106,-0.1296,-0.0235,0.0286,0.9300,0.9329,0.9338,1.0000,0.1213,0.2698,0.3013,0.3074,0.1302,0.1574,0.2071,0.4577,0.2099,0.2333,0.3192,0.3103,0.1127,0.0926,-0.2326,-0.0748,-0.2193,-0.2497,0.1254,0.0115,0.1834
R013,0.4122,0.3741,0.4159,0.5050,0.0567,0.0186,0.0901,0.1509,0.1343,0.1559,0.2530,0.1213,1.0000,0.6992,0.1108,0.0638,0.0774,-0.0419,0.1555,0.0841,0.1770,0.2022,0.1378,0.0612,0.1679,0.1552,0.0278,0.0613,0.0089,-0.1263,-0.2411,-0.0894,-0.0369
R014,0.3270,0.2891,0.3470,0.4739,0.1134,0.1307,0.1730,0.2934,0.2359,0.2960,0.3624,0.2698,0.6992,1.0000,0.1607,0.1673,0.1507,0.0672,0.2129,0.2197,0.1519,0.1417,0.1419,0.1054,0.1076,0.0998,0.0930,0.1476,0.0552,-0.1326,-0.2108,-0.1473,-0.0357
R015,0.3218,0.3326,0.1793,0.2289,0.1737,0.0866,0.1503,0.1761,0.3321,0.3429,0.3223,0.3013,0.1108,0.1607,1.0000,0.7890,0.7260,0.7502,0.8321,0.7796,0.3571,0.3821,0.4176,0.4287,0.2424,0.2728,0.2009,0.2956,0.2235,0.1743,0.3404,0.3215,0.3708
R016,0.3491,0.3513,0.1970,0.2586,0.2498,0.1890,0.2695,0.2662,0.3425,0.3514,0.3359,0.3074,0.0638,0.1673,0.7890,1.0000,0.7635,0.8269,0.8381,0.8230,0.4029,0.4089,0.4127,0.4707,0.2582,0.2798,0.1766,0.2619,0.2201,0.1520,0.2899,0.3138,0.3106
R017,0.3061,0.2388,0.1025,0.2277,0.3221,0.2495,0.3086,0.2777,0.1645,0.1507,0.1648,0.1302,0.0774,0.1507,0.7260,0.7635,1.0000,0.7801,0.7752,0.6718,0.4485,0.3950,0.4071,0.4574,0.2967,0.3039,0.3032,0.3414,0.3779,0.2792,0.2065,0.2169,0.2245
R018,0.2165,0.1778,0.0297,0.1114,0.2671,0.2344,0.2618,0.2448,0.1916,0.1977,0.1604,0.1574,-0.0419,0.0672,0.7502,0.8269,0.7801,1.0000,0.7662,0.7405,0.3147,0.3270,0.3721,0.3510,0.2854,0.2244,0.3019,0.3291,0.3262,0.2977,0.3783,0.3519,0.3721
R019,0.3586,0.3493,0.1635,0.2694,0.1624,0.0736,0.1981,0.1803,0.2385,0.2686,0.2606,0.2071,0.1555,0.2129,0.8321,0.8381,0.7752,0.7662,1.0000,0.7860,0.3114,0.3612,0.3242,0.3749,0.2205,0.1996,0.1754,0.2695,0.2031,0.1095,0.2587,0.2655,0.2649
