,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033,R034,R035,R036,R037,R038,R039,R040,R041,R042,R043,R044,R045,R046,R047,R048,R049,R050,R051,R052,R053,R054,R055,R056,R057,R058,R059,R060,R061,R062,R063,R064,R065,R066,R067,R068,R069,R070,R071,R072,R073,R074,R075,R076,R077,R078,R079,R080,R081,R082,R083,R084,R085,R086,R087,R088,R089,R090
R001,1.0000,0.7363,0.8052,0.7721,0.7660,0.7618,0.7175,0.7411,0.8146,0.7509,0.7639,0.7138,0.7792,0.7478,0.8166,0.7541,0.7891,0.8245,-0.1831,-0.1589,-0.1792,-0.3032,0.3515,0.4443,0.4371,0.3054,0.4450,0.3883,0.1077,0.0573,0.2133,0.2363,0.1404,0.1551,0.1196,0.1159,0.2328,0.0781,0.2014,0.3604,0.2492,0.1772,0.2628,0.1872,0.2528,0.2296,0.1936,0.2466,0.1981,0.2564,0.3580,0.0253,0.0949,0.2521,0.2101,0.3560,0.1545,0.1954,0.2816,0.2329,0.3229,0.1541,0.2160,0.2517,0.0697,0.1882,0.2595,0.1284,0.2345,0.1605,0.2256,0.2685,0.0128,0.2474,0.3148,0.3365,0.3267,0.1575,0.4066,0.2485,0.0481,0.0769,0.0997,-0.0558,-0.0321,0.1373,0.1404,0.0633,0.1165,0.1487
R002,0.7363,1.0000,0.7807,0.7035,0.7689,0.7645,0.7128,0.8160,0.7703,0.7808,0.7742,0.7540,0.7828,0.7620,0.7994,0.7549,0.7579,0.7594,-0.1091,0.0080,-0.0350,-0.2013,0.2504,0.3862,0.3214,0.2768,0.3435,0.3623,0.1580,0.1769,0.2267,0.2606,0.1722,0.1954,0.1440,0.1759,0.2632,0.0906,0.1771,0.3968,0.2825,0.2149,0.2758,0.2194,0.2562,0.2424,0.2438,0.2546,0.2254,0.2509,0.2854,0.0710,0.0667,0.1381,0.2157,0.3024,0.1183,0.1215,0.2020,0.2109,0.2376,0.1592,0.1551,0.2244,-0.0286,0.1954,0.2672,0.1097,0.1321,0.0880,0.0631,0.1461,-0.0234,0.1174,0.1900,0.1667,0.1607,0.0739,0.2983,0.1807,-0.0227,0.1266,0.1320,0.0138,0.0281,0.2231,0.1413,0.1657,0.1969,0.1795
R003,0.8052,0.7807,1.0000,0.7972,0.8131,0.8378,0.8425,0.8058,0.8492,0.8194,0.8477,0.7666,0.7862,0.7929,0.8876,0.8496,0.8141,0.8604,-0.1207,-0.0408,-0.1378,-0.2164,0.3887,0.5146,0.4971,0.4216,0.5221,0.4455,0.1888,0.1823,0.2688,0.2972,0.2123,0.2636,0.2047,0.2034,0.2891,0.1509,0.2936,0.4917,0.3429,0.2893,0.3964,0.3212,0.3668,0.3277,0.3101,0.3846,0.3729,0.3901,0.3135,0.0089,0.0908,0.2021,0.2434,0.3410,0.1756,0.1718,0.2262,0.2673,0.2761,0.1644,0.1970,0.2548,0.0586,0.1967,0.2508,0.0899,0.1727,0.1293,0.1424,0.2919,0.0302,0.2335,0.2370,0.2840,0.2498,0.1723,0.3596,0.2622,0.0348,0.1300,0.0891,0.0165,-0.0876,0.1568,0.1062,0.1190,0.1434,0.1437
R004,0.7721,0.7035,0.7972,1.0000,0.7169,0.7509,0.7128,0.6978,0.7888,0.7666,0.8119,0.7185,0.7833,0.7157,0.7951,0.6982,0.8004,0.7921,-0.0912,-0.0577,-0.0680,-0.1470,0.4106,0.5105,0.4500,0.3860,0.4910,0.4358,0.1089,0.1439,0.2229,0.3073,0.1369,0.1973,0.1993,0.1077,0.2725,0.1392,0.1636,0.3698,0.2367,0.1696,0.2336,0.1980,0.2346,0.2324,0.1737,0.2257,0.2114,0.2256,0.4708,0.1824,0.2612,0.3807,0.3790,0.4888,0.3087,0.3522,0.3930,0.3828,0.4455,0.3031,0.3329,0.4425,0.2290,0.3260,0.3816,0.2792,0.2605,0.1953,0.2347,0.2723,0.0824,0.2490,0.3187,0.3234,0.3327,0.2266,0.3972,0.2833,0.0662,0.2501,0.2198,0.0930,0.0476,0.2529,0.2348,0.1636,0.2391,0.2324
R005,0.7660,0.7689,0.8131,0.7169,1.0000,0.7743,0.7456,0.7276,0.7781,0.7695,0.7872,0.6990,0.7896,0.7984,0.8135,0.7544,0.7653,0.7887,-0.0566,-0.0866,-0.1128,-0.1839,0.2862,0.3357,0.3566,0.2416,0.3444,0.2524,0.0858,0.0292,0.1588,0.1542,0.1040,0.1357,0.0523,0.0961,0.1656,0.0440,0.2082,0.3655,0.2339,0.2237,0.2863,0.2375,0.2699,0.2434,0.2153,0.2763,0.2376,0.2615,0.2881,-0.0245,0.0566,0.1448,0.2266,0.2782,0.1029,0.1100,0.2299,0.2091,0.2014,0.1213,0.1512,0.2344,0.0031,0.1608,0.2054,0.0628,0.1762,0.0964,0.1732,0.2605,0.0068,0.1845,0.2336,0.2406,0.2275,0.1648,0.3222,0.2224,-0.0669,0.0571,0.1066,-0.0428,-0.0763,0.1161,0.0962,0.0810,0.1744,0.0658
R006,0.7618,0.7645,0.8378,0.7509,0.7743,1.0000,0.7286,0.7472,0.7835,0.7757,0.7557,0.7408,0.8064,0.7827,0.8295,0.7926,0.7926,0.7934,-0.1434,-0.1384,-0.1220,-0.2270,0.2957,0.4464,0.3804,0.3011,0.3915,0.3358,0.2178,0.1449,0.2700,0.3346,0.1705,0.2564,0.2278,0.1901,0.2870,0.1371,0.2452,0.4127,0.3077,0.2714,0.3439,0.2956,0.3234,0.3108,0.2983,0.3311,0.3039,0.3292,0.4311,0.1326,0.1732,0.2363,0.3271,0.3460,0.2529,0.2505,0.3140,0.2934,0.3671,0.2439,0.2936,0.3546,0.1294,0.2837,0.3502,0.1714,0.1783,0.1107,0.1588,0.2336,0.0321,0.2619,0.2801,0.2843,0.3184,0.1854,0.3740,0.2354,0.0184,0.0827,0.1269,0.0340,-0.0431,0.1885,0.1274,0.1410,0.2388,0.1821
R007,0.7175,0.7128,0.8425,0.7128,0.7456,0.7286,1.0000,0.7315,0.7579,0.7578,0.7670,0.7465,0.7418,0.7820,0.7858,0.8055,0.7364,0.7685,-0.1021,-0.0676,-0.0596,-0.2052,0.3604,0.4671,0.4640,0.3899,0.4642,0.4458,0.2006,0.1518,0.2446,0.2744,0.1647,0.2833,0.2168,0.2146,0.2532,0.1594,0.3268,0.4897,0.3946,0.3086,0.3683,0.3315,0.3903,0.3569,0.3321,0.4015,0.3877,0.3909,0.3253,0.0744,0.0972,0.2710,0.3292,0.4590,0.2521,0.2337,0.2192,0.3051,0.3324,0.2370,0.2969,0.2825,0.1148,0.2627,0.3265,0.1923,0.1651,0.0462,0.1457,0.2151,-0.0286,0.1331,0.2066,0.2015,0.1936,0.1185,0.2654,0.2510,-0.0134,-0.0498,0.1215,-0.0628,-0.0562,0.0551,0.0259,0.0362,0.1036,0.1345
R008,0.7411,0.8160,0.8058,0.6978,0.7276,0.7472,0.7315,1.0000,0.7870,0.7807,0.8030,0.7526,0.7284,0.7181,0.8052,0.7896,0.7621,0.7692,-0.0677,-0.0472,-0.0712,-0.1846,0.2670,0.3740,0.3481,0.2809,0.3951,0.3610,0.1516,0.2013,0.2395,0.2856,0.1745,0.2329,0.1603,0.1761,0.2672,0.1579,0.2106,0.3508,0.2641,0.1900,0.2747,0.1920,0.2773,0.2514,0.2520,0.2869,0.2766,0.2827,0.2506,-0.0242,0.0609,0.1488,0.1735,0.3216,0.1641,0.1542,0.1678,0.2012,0.1937,0.0706,0.1876,0.2283,0.0361,0.1696,0.2358,0.0799,0.1020,0.0862,0.0915,0.1615,-0.0001,0.1358,0.2428,0.1943,0.2243,0.1015,0.3210,0.2638,0.0118,0.1969,0.1038,0.0090,-0.0041,0.1426,0.1535,0.1570,0.1459,0.1187
R009,0.8146,0.7703,0.8492,0.7888,0.7781,0.7835,0.7579,0.7870,1.0000,0.8373,0.8147,0.7461,0.8085,0.7804,0.8431,0.8144,0.8378,0.8325,-0.0752,-0.0220,-0.0681,-0.1980,0.4169,0.5170,0.4513,0.4061,0.5377,0.4783,0.1752,0.1647,0.2748,0.2872,0.2049,0.2320,0.2069,0.1849,0.2460,0.1474,0.2195,0.3993,0.2546,0.2134,0.2982,0.2101,0.2762,0.2344,0.2485,0.2861,0.2769,0.2525,0.3883,0.0496,0.1181,0.2245,0.2294,0.3621,0.1650,0.1769,0.2432,0.2623,0.3255,0.1581,0.2431,0.2830,0.1133,0.2375,0.2887,0.1241,0.1893,0.1298,0.1587,0.2768,-0.0174,0.2274,0.2398,0.2817,0.2654,0.1745,0.3756,0.2178,0.0279,0.1427,0.1699,-0.0081,0.0282,0.2299,0.1168,0.1070,0.1744,0.1662
R010,0.7509,0.7808,0.8194,0.7666,0.7695,0.7757,0.7578,0.7807,0.8373,1.0000,0.8077,0.7477,0.7598,0.7655,0.8203,0.7872,0.8088,0.7883,-0.0546,-0.0049,-0.0582,-0.1706,0.3805,0.4904,0.4883,0.3926,0.4828,0.4257,0.2421,0.2077,0.2508,0.3013,0.2029,0.2576,0.2286,0.1739,0.3145,0.1867,0.2275,0.4204,0.2894,0.2689,0.3315,0.3007,0.2979,0.2921,0.2976,0.3506,0.3234,0.2703,0.3458,0.0817,0.1377,0.2115,0.2208,0.3801,0.2299,0.2316,0.2704,0.2923,0.3160,0.2348,0.2699,0.3056,0.0716,0.2294,0.3273,0.1438,0.1419,0.0362,0.1483,0.2471,0.0254,0.1478,0.2099,0.2252,0.2106,0.1974,0.3124,0.2372,0.0664,0.2464,0.2034,0.0273,0.0900,0.2614,0.1613,0.2039,0.2165,0.2252
