,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033
R001,1.0000,0.6932,0.7155,0.7575,0.1304,0.3793,0.2334,0.1950,0.0405,-0.0498,-0.0623,-0.0857,0.2096,0.1709,0.1018,0.1447,0.0776,0.1700,0.1246,0.0900,0.0041,0.0751,0.0074,0.0559,-0.0517,-0.1101,-0.0056,-0.0220,0.1006,0.0546,-0.2232,0.0541,-0.1132
R002,0.6932,1.0000,0.7244,0.7756,-0.0174,0.2527,0.1766,0.1441,-0.1773,-0.2770,-0.2509,-0.2795,0.1339,0.0403,-0.0198,0.0397,-0.0292,0.0114,-0.0125,-0.0306,-0.1870,-0.0563,-0.0568,-0.0703,-0.1891,-0.1825,0.1057,0.0526,0.1003,0.0973,-0.2644,-0.0420,-0.1876
R003,0.7155,0.7244,1.0000,0.7585,0.1525,0.4048,0.2917,0.2569,0.1727,0.0989,0.1309,0.0487,0.2385,0.1770,0.2317,0.2839,0.1910,0.1904,0.2237,0.2109,-0.0319,0.0471,-0.0027,0.0158,-0.0365,-0.1786,0.0828,-0.0253,0.0507,0.0433,-0.2320,-0.0847,-0.2020
R004,0.7575,0.7756,0.7585,1.0000,0.0676,0.3435,0.2392,0.2411,-0.0265,-0.1031,-0.0596,-0.1607,0.1366,0.0189,0.1554,0.2204,0.1436,0.1569,0.1631,0.1401,-0.1803,-0.0334,-0.1076,-0.1422,-0.1434,-0.2169,0.0749,-0.0210,0.0805,0.0495,-0.2266,-0.1491,-0.2575
R005,0.1304,-0.0174,0.1525,0.0676,1.0000,0.6470,0.7300,0.7021,0.2929,0.3287,0.2606,0.3641,0.4209,0.4225,0.1934,0.1390,0.2001,0.1720,0.1066,0.0457,0.3046,0.3400,0.1994,0.2216,0.3626,0.1940,0.3621,0.3114,0.3470,0.1869,0.2743,0.1255,0.3421
R006,0.3793,0.2527,0.4048,0.3435,0.6470,1.0000,0.6829,0.7101,0.2061,0.2081,0.1994,0.2249,0.2815,0.2560,0.1519,0.1867,0.2169,0.1871,0.1892,0.1043,0.0716,0.1452,0.0555,0.0355,0.1315,-0.0292,0.1697,0.1241,0.2107,0.0946,0.1055,-0.0178,0.0153
R007,0.2334,0.1766,0.2917,0.2392,0.7300,0.6829,1.0000,0.7238,0.1843,0.1506,0.1153,0.1920,0.3116,0.3274,0.1075,0.0865,0.1117,0.0833,0.1439,-0.0031,0.1043,0.1279,0.0736,0.0476,0.1788,0.0271,0.2504,0.1794,0.2404,0.0772,0.1951,0.0536,0.2379
R008,0.1950,0.1441,0.2569,0.2411,0.7021,0.7101,0.7238,1.0000,0.1247,0.1578,0.1428,0.1618,0.1629,0.1660,0.1905,0.2227,0.3134,0.2164,0.2629,0.1119,0.0882,0.1321,0.0810,0.0331,0.1752,0.1113,0.3048,0.3004,0.4242,0.2746,0.1275,0.0001,0.1013
R009,0.0405,-0.1773,0.1727,-0.0265,0.2929,0.2061,0.1843,0.1247,1.0000,0.8468,0.8172,0.8270,0.4991,0.4788,0.3647,0.2551,0.2540,0.2674,0.2826,0.3171,0.4679,0.3457,0.2967,0.3838,0.4760,0.1251,0.1070,-0.0106,-0.0747,-0.1736,0.0452,-0.1521,-0.1334
R010,-0.0498,-0.2770,0.0989,-0.1031,0.3287,0.2081,0.1506,0.1578,0.8468,1.0000,0.8153,0.8360,0.4238,0.4014,0.5151,0.3920,0.4098,0.4075,0.4154,0.4864,0.4685,0.3544,0.2945,0.3364,0.4152,0.1499,0.0751,-0.0196,-0.0873,-0.1789,0.1006,-0.2236,-0.1057
R011,-0.0623,-0.2509,0.1309,-0.0596,0.2606,0.1994,0.1153,0.1428,0.8172,0.8153,1.0000,0.7861,0.3297,0.2648,0.3994,0.3487,0.3997,0.3390,0.3720,0.3988,0.3831,0.2827,0.2243,0.2836,0.3854,0.0845,0.1417,0.0130,-0.0189,-0.1301,0.0135,-0.2977,-0.2048
