LH_Vis_1,-34.6809,-36.2043,-23.7957,left,Vis,Schaefer1000
LH_Vis_2,-34.1909,-51.2455,-18.7091,left,Vis,Schaefer1000
LH_Vis_3,-25.6346,-44.5192,-14.5385,left,Vis,Schaefer1000
LH_Vis_4,-28.0153,-62.7634,-12.3664,left,Vis,Schaefer1000
LH_Vis_5,-30.7297,-42.5946,-9.0270,left,Vis,Schaefer1000
LH_Vis_6,-34.3280,-68.6243,-15.7778,left,Vis,Schaefer1000
LH_Vis_7,-45.2364,-66.7636,-17.6000,left,Vis,Schaefer1000
LH_Vis_8,-24.8595,-57.2645,-8.7851,left,Vis,Schaefer1000
LH_Vis_9,-35.9651,-80.0116,-14.7442,left,Vis,Schaefer1000
LH_Vis_10,-25.7849,-80.3871,-13.0968,left,Vis,Schaefer1000
LH_Vis_11,-21.2500,-73.9815,-8.8611,left,Vis,Schaefer1000
LH_Vis_12,-44.9455,-72.1455,-10.9673,left,Vis,Schaefer1000
LH_Vis_13,-21.5238,-50.0317,-6.1111,left,Vis,Schaefer1000
LH_Vis_14,-20.1909,-88.3091,-16.1636,left,Vis,Schaefer1000
LH_Vis_15,-42.3694,-83.6943,-14.1911,left,Vis,Schaefer1000
LH_Vis_16,-13.8421,-70.9211,-9.5263,left,Vis,Schaefer1000
LH_Vis_17,-13.1311,-83.4098,-14.2951,left,Vis,Schaefer1000
LH_Vis_18,-30.8000,-90.8533,-17.9467,left,Vis,Schaefer1000
LH_Vis_19,-14.6667,-63.5556,-5.3580,left,Vis,Schaefer1000
LH_Vis_20,-15.6061,-37.7273,-10.7879,left,Vis,Schaefer1000
LH_Vis_21,-45.9115,-71.2920,-2.8673,left,Vis,Schaefer1000
LH_Vis_22,-13.2464,-49.7681,-6.9855,left,Vis,Schaefer1000
LH_Vis_23,-6.4387,-78.4387,-7.0581,left,Vis,Schaefer1000
LH_Vis_24,-34.5072,-91.7101,-9.5797,left,Vis,Schaefer1000
LH_Vis_25,-10.1584,-60.8515,-2.8713,left,Vis,Schaefer1000
LH_Vis_26,-6.1913,-70.5739,-2.0000,left,Vis,Schaefer1000
LH_Vis_27,-4.4851,-89.8614,-12.2871,left,Vis,Schaefer1000
LH_Vis_28,-20.4571,-99.2000,-11.8540,left,Vis,Schaefer1000
LH_Vis_29,-45.5487,-81.8359,-1.3128,left,Vis,Schaefer1000
LH_Vis_30,-10.0654,-97.5817,-12.0654,left,Vis,Schaefer1000
